Id,Prediction
0,0
1,0
2,1
3,1
4,1
5,1
6,1
7,0
8,0
9,1
10,1
11,0
12,0
13,0
14,1
15,0
16,1
17,1
18,0
19,0
20,0
21,0
22,0
23,1
24,0
25,1
26,1
27,0
28,0
29,1
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,1
39,0
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,1
51,0
52,0
53,1
54,1
55,1
56,1
57,0
58,0
59,1
60,0
61,1
62,0
63,0
64,1
65,1
66,0
67,0
68,1
69,0
70,0
71,1
72,0
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,0
81,1
82,0
83,1
84,0
85,0
86,0
87,1
88,1
89,0
90,1
91,0
92,0
93,1
94,0
95,0
96,1
97,0
98,0
99,0
100,0
101,0
102,1
103,0
104,1
105,1
106,1
107,1
108,1
109,0
110,0
111,0
112,0
113,0
114,1
115,1
116,0
117,0
118,1
119,0
120,0
121,0
122,0
123,1
124,1
125,0
126,0
127,1
128,1
129,1
130,1
131,1
132,1
133,0
134,1
135,0
136,1
137,1
138,0
139,0
140,1
141,1
142,0
143,1
144,0
145,0
146,0
147,1
148,0
149,0
150,0
151,0
152,1
153,0
154,0
155,0
156,1
157,1
158,1
159,0
160,0
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,0
172,1
173,1
174,1
175,1
176,0
177,1
178,0
179,1
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,1
192,0
193,0
194,1
195,1
196,0
197,1
198,1
199,1
200,0
201,1
202,0
203,1
204,0
205,0
206,1
207,0
208,0
209,1
210,1
211,0
212,0
213,1
214,1
215,0
216,0
217,1
218,1
219,0
220,1
221,0
222,0
223,1
224,1
225,1
226,1
227,1
228,0
229,1
230,1
231,1
232,0
233,1
234,1
235,1
236,1
237,1
238,0
239,1
240,0
241,0
242,1
243,0
244,1
245,1
246,0
247,0
248,0
249,0
250,1
251,0
252,1
253,1
254,1
255,0
256,0
257,0
258,0
259,1
260,1
261,0
262,0
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,0
271,0
272,1
273,1
274,1
275,1
276,0
277,1
278,0
279,1
280,0
281,1
282,1
283,1
284,0
285,1
286,1
287,0
288,1
289,1
290,1
291,0
292,1
293,1
294,0
295,1
296,0
297,1
298,0
299,1
300,1
301,0
302,1
303,1
304,0
305,0
306,0
307,0
308,1
309,1
310,1
311,0
312,1
313,0
314,1
315,0
316,0
317,0
318,0
319,1
320,0
321,1
322,0
323,1
324,1
325,1
326,1
327,0
328,0
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,0
337,1
338,1
339,0
340,0
341,0
342,0
343,1
344,0
345,0
346,1
347,1
348,1
349,1
350,0
351,0
352,0
353,1
354,1
355,1
356,1
357,1
358,1
359,0
360,0
361,1
362,0
363,1
364,0
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,0
374,0
375,1
376,1
377,1
378,0
379,0
380,1
381,0
382,0
383,1
384,1
385,1
386,1
387,0
388,0
389,0
390,1
391,1
392,1
393,1
394,1
395,0
396,0
397,1
398,0
399,0
400,1
401,1
402,1
403,0
404,0
405,0
406,0
407,0
408,1
409,0
410,1
411,1
412,0
413,0
414,1
415,1
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,1
425,0
426,1
427,1
428,0
429,1
430,0
431,1
432,0
433,1
434,0
435,1
436,1
437,1
438,1
439,0
440,1
441,1
442,0
443,1
444,0
445,1
446,0
447,0
448,0
449,1
450,1
451,0
452,0
453,1
454,1
455,1
456,1
457,0
458,0
459,0
460,1
461,1
462,0
463,1
464,0
465,0
466,0
467,1
468,1
469,1
470,0
471,0
472,0
473,1
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,1
482,1
483,0
484,0
485,0
486,0
487,0
488,1
489,0
490,1
491,0
492,0
493,0
494,1
495,0
496,1
497,0
498,1
499,0
500,1
501,0
502,0
503,0
504,1
505,1
506,0
507,0
508,0
509,0
510,0
511,0
512,1
513,1
514,0
515,1
516,0
517,1
518,0
519,1
520,0
521,0
522,1
523,0
524,1
525,1
526,1
527,0
528,1
529,0
530,0
531,1
